City,Administrative Division,Country,Full,Map
Andhra Pradesh,India,,"Andhra Pradesh, India",https://en.wikipedia.org/wiki/File:Andhra_Pradesh_map_(updated).jpg
Andorra,,,Andorra,
Angola,,,Angola,
Anhui,China,,"Anhui, China",https://en.wikipedia.org/wiki/File:Anhui_in_China_(%2Ball_claims_hatched).svg
Antananarivo,,,Antananarivo,
Antigua,,,Antigua,
Antofagasta,Chile,,"Antofagasta, Chile",https://en.wikipedia.org/wiki/File:Antofagasta_in_Chile_2018.svg
Apia,,,Apia,
Aqtau,,,Aqtau,
Aqtobe,,,Aqtobe,
Araguaina,,,Araguaina,
Arar,Northern Borders,Saudi Arabia,"Arar, Northern Borders, Saudi Arabia",https://en.wikipedia.org/wiki/File:Al_%E1%B8%A4udud_ash_Shamaliyah_in_Saudi_Arabia.svg
Argentina,,,Argentina,
Arizona,United States,,"Arizona, United States",https://en.wikipedia.org/wiki/File:Arizona_in_United_States.svg
Arkadag,Ahal,Turkmenistan,"Arkadag, Ahal, Turkmenistan",https://en.wikipedia.org/wiki/File:Ahal_Province_in_Turkmenistan.svg
Arkansas,United States,,"Arkansas, United States",https://en.wikipedia.org/wiki/File:Arkansas_in_United_States.svg
Arkhangelsk,Arkhangelsk Oblast,Russia,"Arkhangelsk, Arkhangelsk Oblast, Russia",https://en.wikipedia.org/wiki/File:Arkhangelsk_in_Russia.svg
Arkhangelsk Oblast,Russia,,"Arkhangelsk Oblast, Russia",https://en.wikipedia.org/wiki/File:Arkhangelsk_in_Russia.svg
Aruba,,,Aruba,
Arunachal Pradesh,India,,"Arunachal Pradesh, India",https://en.wikipedia.org/wiki/File:Arunachal_Pradesh_in_India.svg
Ashgabat,,,Ashgabat,
Asmara,,,Asmara,
Astrakhan,,,Astrakhan,
Asuncion,,,Asuncion,
Atar,Adrar,Mauritania,"Atar, Adrar, Mauritania",https://en.wikipedia.org/wiki/File:Adrar_in_Mauritania.svg
Athens,,,Athens,
Ati,Batha,Chad,"Ati, Batha, Chad",https://en.wikipedia.org/wiki/File:Batha_map.svg
Atlanta,Georgia,United States,"Atlanta, Georgia, United States",https://en.wikipedia.org/wiki/File:Georgia_in_United_States.svg
Atyrau,Kazakhstan,,"Atyrau, Kazakhstan",https://en.wikipedia.org/wiki/File:Atyrau_in_Kazakhstan.svg
Auckland,,,Auckland,
Augusta,Maine,United States,"Augusta, Maine, United States",https://en.wikipedia.org/wiki/File:Maine_in_United_States.svg
Austin,Texas,United States,"Austin, Texas, United States",https://en.wikipedia.org/wiki/File:Texas_in_United_States.svg
Australia,,,Australia,
Aysen,Chile,,"Aysen, Chile",https://en.wikipedia.org/wiki/File:Aysen_in_Chile_2018.svg
Azores,,,Azores,
Baghdad,,,Baghdad,
Bahia,Brazil,,"Bahia, Brazil",https://en.wikipedia.org/wiki/File:Bahia_in_Brazil.svg
Bahia Banderas,,,Bahia Banderas,
Bahir Dar,Amhara,Ethiopia,"Bahir Dar, Amhara, Ethiopia",https://en.wikipedia.org/wiki/File:Amhara_in_Ethiopia.svg
Bahrain,,,Bahrain,
Baidoa,South West,Somalia,"Baidoa, South West, Somalia",https://en.wikipedia.org/wiki/File:Map_of_the_South_West_State_within_Somalia.png
Baku,,,Baku,
Balkan,Turkmenistan,,"Balkan, Turkmenistan",https://en.wikipedia.org/wiki/File:Balkan_Province_in_Turkmenistan.svg
Balkanabat,Balkan,Turkmenistan,"Balkanabat, Balkan, Turkmenistan",https://en.wikipedia.org/wiki/File:Balkan_Province_in_Turkmenistan.svg
Balochistan,Pakistan,,"Balochistan, Pakistan",https://en.wikipedia.org/wiki/File:Balochistan_in_Pakistan_(claims_hatched).svg
Bamako,,,Bamako,
Bangalore,Karnataka,India,"Bangalore, Karnataka, India",https://en.wikipedia.org/wiki/File:Karnataka_in_India.svg
Bangkok,,,Bangkok,
Bangui,,,Bangui,
Banjul,,,Banjul,
Baotou,Inner Mongolia,China,"Baotou, Inner Mongolia, China",https://en.wikipedia.org/wiki/File:Inner_Mongolia_in_China_(%2Ball_claims_hatched).svg
Barawa,South West,Somalia,"Barawa, South West, Somalia",https://en.wikipedia.org/wiki/File:Map_of_the_South_West_State_within_Somalia.png
Barbados,,,Barbados,
Bardai,Tibesti,Chad,"Bardai, Tibesti, Chad",https://en.wikipedia.org/wiki/File:Tibetsi_map.svg
Barnaul,Altai Krai,Russia,"Barnaul, Altai Krai, Russia",https://en.wikipedia.org/wiki/File:Map_of_Russia_-_Altai_Krai_(Crimea_disputed).svg
Baruun-Urt,Sukhbaatar,Mongolia,"Baruun-Urt, Sukhbaatar, Mongolia",https://en.wikipedia.org/wiki/File:S%C3%BCkhbaatar_in_Mongolia.svg
Bashkortostan,Russia,,"Bashkortostan, Russia",https://en.wikipedia.org/wiki/File:Map_of_Russia_-_Bashkortostan_(Crimea_disputed).svg
Bas-Uele,Congo-Kinshasa,,"Bas-Uele, Congo-Kinshasa",https://en.wikipedia.org/wiki/File:Democratic_Republic_of_the_Congo_(26_provinces)_-_Bas-Uele.svg
Batha,Chad,,"Batha, Chad",https://en.wikipedia.org/wiki/File:Batha_map.svg
Baton Rouge,Louisiana,United States,"Baton Rouge, Louisiana, United States",https://en.wikipedia.org/wiki/File:Louisiana_in_United_States.svg
Bayankhongor,Bayankhongor Province,Mongolia,"Bayankhongor, Bayankhongor Province, Mongolia",https://en.wikipedia.org/wiki/File:Bayankhongor_in_Mongolia.svg
Bayankhongor Province,Mongolia,,"Bayankhongor Province, Mongolia",https://en.wikipedia.org/wiki/File:Bayankhongor_in_Mongolia.svg
Beirut,,,Beirut,
Beledweyne,Hirshabelle,Somalia,"Beledweyne, Hirshabelle, Somalia",https://en.wikipedia.org/wiki/File:Location_Hirshabelle.png
Belem,Para,Brazil,"Belem, Para, Brazil",https://en.wikipedia.org/wiki/File:Para_in_Brazil.svg
Belgrade,,,Belgrade,
Belize,,,Belize,
Belo Horizonte,Minas Gerais,Brazil,"Belo Horizonte, Minas Gerais, Brazil",https://en.wikipedia.org/wiki/File:Minas_Gerais_in_Brazil.svg
Beni,Bolivia,,"Beni, Bolivia",https://en.wikipedia.org/wiki/File:Beni_in_Bolivia.svg
Beni Abbes,Beni Abbes Province,Algeria,"Beni Abbes, Beni Abbes Province, Algeria",https://en.wikipedia.org/wiki/File:B%C3%A9ni_Abb%C3%A8s_in_Algeria_2019.svg
Beni Abbes Province,Algeria,,"Beni Abbes Province, Algeria",https://en.wikipedia.org/wiki/File:B%C3%A9ni_Abb%C3%A8s_in_Algeria_2019.svg
Berlin,,,Berlin,
Bermuda,,,Bermuda,
Bertoua,East,Cameroon,"Bertoua, East, Cameroon",https://en.wikipedia.org/wiki/File:Cameroon_-_East.svg
Bhisho,Eastern Cape,South Africa,"Bhisho, Eastern Cape, South Africa",https://en.wikipedia.org/wiki/File:Eastern_Cape_in_South_Africa.svg
Bhopal,Madhya Pradesh,India,"Bhopal, Madhya Pradesh, India",https://en.wikipedia.org/wiki/File:Madhya_Pradesh_in_India.svg
Bhubaneswar,Odisha,India,"Bhubaneswar, Odisha, India",https://en.wikipedia.org/wiki/File:Orissa_in_India_(disputed_hatched).svg
Bihar,India,,"Bihar, India",https://en.wikipedia.org/wiki/File:Bihar_in_India.svg
Billings,Montana,United States,"Billings, Montana, United States",https://en.wikipedia.org/wiki/File:Montana_in_United_States.svg
Birjand,South Khorasan,Iran,"Birjand, South Khorasan, Iran",https://en.wikipedia.org/wiki/File:IranSouthKhorasan-SVG.svg
Birmingham,Alabama,United States,"Birmingham, Alabama, United States",https://en.wikipedia.org/wiki/File:Alabama_in_United_States.svg
Bishkek,,,Bishkek,
Bismarck,North Dakota,United States,"Bismarck, North Dakota, United States",https://en.wikipedia.org/wiki/File:North_Dakota_in_United_States.svg
Bissau,,,Bissau,
Blagoveshchensk,Amur,Russia,"Blagoveshchensk, Amur, Russia",https://en.wikipedia.org/wiki/File:Map_of_Russia_-_Amur_Oblast_(Crimea_disputed).svg
Blantyre,,,Blantyre,
Bloemfontein,Free State,South Africa,"Bloemfontein, Free State, South Africa",https://en.wikipedia.org/wiki/File:Free_State_in_South_Africa.svg
Boa Vista,Roraima,Brazil,"Boa Vista, Roraima, Brazil",https://en.wikipedia.org/wiki/File:Roraima_in_Brazil.svg
Boa Vista,,,Boa Vista,
Boende,Tshuapa,Congo-Kinshasa,"Boende, Tshuapa, Congo-Kinshasa",https://en.wikipedia.org/wiki/File:Democratic_Republic_of_the_Congo_(26_provinces)_-_Tshuapa.svg
Bogota,,,Bogota,
Boise,Idaho,United States,"Boise, Idaho, United States",https://en.wikipedia.org/wiki/File:Idaho_in_United_States.svg
Boise,,,Boise,
Bolivar,Venezuela,,"Bolivar, Venezuela",https://en.wikipedia.org/wiki/File:Bolivar_in_Venezuela.svg
Bolivia,,,Bolivia,
Boqueron,Paraguay,,"Boqueron, Paraguay",https://en.wikipedia.org/wiki/File:Boqueron_in_Paraguay.svg
Bor,Jonglei,South Sudan,"Bor, Jonglei, South Sudan",https://en.wikipedia.org/wiki/File:Jonglei_in_South_Sudan_2015.svg
Bordeaux,Nouvelle-Aquitaine,France,"Bordeaux, Nouvelle-Aquitaine, France",https://en.wikipedia.org/wiki/File:Nouvelle-Aquitaine_in_France_2016.svg
Bordj Badji Mokhtar,Bordj Baji Mokhtar Province,Algeria,"Bordj Badji Mokhtar, Bordj Baji Mokhtar Province, Algeria",https://en.wikipedia.org/wiki/File:Bordj_Badji_Mokhtar_in_Algeria_2019.svg
Bordj Baji Mokhtar Province,Algeria,,"Bordj Baji Mokhtar Province, Algeria",https://en.wikipedia.org/wiki/File:Bordj_Badji_Mokhtar_in_Algeria_2019.svg
Borkou,Chad,,"Borkou, Chad",https://en.wikipedia.org/wiki/File:Borkou_map.svg
Bosaso,Puntland,Somalia,"Bosaso, Puntland, Somalia",https://en.wikipedia.org/wiki/File:Puntland_State_of_Somalia.svg
Botswana,,,Botswana,
Bougainville,,,Bougainville,
Brak,Wadi al Shatii,Libya,"Brak, Wadi al Shatii, Libya",https://en.wikipedia.org/wiki/File:Wadi_al_Shatii_in_Libya.svg
Bratislava,,,Bratislava,
Brazil,,,Brazil,
Brazzaville,,,Brazzaville,
Bria,Haute-Kotto,Central African Republic,"Bria, Haute-Kotto, Central African Republic",https://en.wikipedia.org/wiki/File:Central_African_Republic_-_Haute-Kotto.svg
Brisbane,Australia,,"Brisbane, Australia",
Brisbane,Queensland,Australia,"Brisbane, Queensland, Australia",https://en.wikipedia.org/wiki/File:Queensland_in_Australia.svg
British Columbia,Canada,,"British Columbia, Canada",https://en.wikipedia.org/wiki/File:British_Columbia_in_Canada_2.svg
Broken Hill,Australia,,"Broken Hill, Australia",
Brunei,,,Brunei,
Brussels,,,Brussels,
Buale,Jubaland,Somalia,"Buale, Jubaland, Somalia",https://en.wikipedia.org/wiki/File:Jubaland_State_of_Somalia.svg
Bucharest,,,Bucharest,
Budapest,,,Budapest,
Buenos Aires,Argentina,,"Buenos Aires, Argentina",https://en.wikipedia.org/wiki/File:Buenos_Aires_Province_in_Argentina_(%2BFalkland).svg
Buenos Aires,Argentina,,"Buenos Aires, Argentina",
Bujumbura,,,Bujumbura,
Buryatia,Russia,,"Buryatia, Russia",https://en.wikipedia.org/wiki/File:Map_of_Russia_-_Buryatia_(Crimea_disputed).svg
Buta,Bas-Uele,Congo-Kinshasa,"Buta, Bas-Uele, Congo-Kinshasa",https://en.wikipedia.org/wiki/File:Democratic_Republic_of_the_Congo_(26_provinces)_-_Bas-Uele.svg
Butnan,Libya,,"Butnan, Libya",https://en.wikipedia.org/wiki/File:Butnan_in_Libya.svg
Cabo Delgado,Mozambique,,"Cabo Delgado, Mozambique",https://en.wikipedia.org/wiki/File:Cabo_Delgado_in_Mozambique.svg
Cairo,,,Cairo,
Calgary,Alberta,Canada,"Calgary, Alberta, Canada",https://en.wikipedia.org/wiki/File:Alberta_in_Canada.svg
California,United States,,"California, United States",https://en.wikipedia.org/wiki/File:California_in_United_States.svg
Cameroon,,,Cameroon,
Campo Grande,Mato Grosso do Sul,Brazil,"Campo Grande, Mato Grosso do Sul, Brazil",https://en.wikipedia.org/wiki/File:Mato_Grosso_do_Sul_in_Brazil.svg
Campo Grande,,,Campo Grande,
Canada,,,Canada,
Canary,,,Canary,
Cancun,,,Cancun,
Cape Town,Western Cape,South Africa,"Cape Town, Western Cape, South Africa",https://en.wikipedia.org/wiki/File:Western_Cape_in_South_Africa.svg
Cape Verde,,,Cape Verde,
Caqueta,Colombia,,"Caqueta, Colombia",https://en.wikipedia.org/wiki/File:Caqueta_in_Colombia.svg
Caracas,,,Caracas,
Carson City,Nevada,United States,"Carson City, Nevada, United States",https://en.wikipedia.org/wiki/File:Nevada_in_United_States.svg
Casablanca,,,Casablanca,
Castile and Leon,Spain,,"Castile and Leon, Spain",https://en.wikipedia.org/wiki/File:Castilla_y_Leon_in_Spain_(including_Canarias).svg
Catamarca,Argentina,,"Catamarca, Argentina",https://en.wikipedia.org/wiki/File:Catamarca_in_Argentina.svg
Catamarca,Argentina,,"Catamarca, Argentina",
Cayenne,French Guiana,France,"Cayenne, French Guiana, France",https://en.wikipedia.org/wiki/File:French_Guiana_in_France_2016.svg
Cayman,,,Cayman,
Ceara,Brazil,,"Ceara, Brazil",https://en.wikipedia.org/wiki/File:Ceara_in_Brazil.svg
Central,Botswana,,"Central, Botswana",https://en.wikipedia.org/wiki/File:Botswana_-_Central.svg
Central,Zambia,,"Central, Zambia",https://en.wikipedia.org/wiki/File:Central_in_Zambia.svg
Central African Republic,,,Central African Republic,
Central Kalimantan,Indonesia,,"Central Kalimantan, Indonesia",https://en.wikipedia.org/wiki/File:Central_Kalimantan_in_Indonesia.svg
Ceuta,,,Ceuta,
Chaco,Argentina,,"Chaco, Argentina",https://en.wikipedia.org/wiki/File:Chaco_in_Argentina.svg
Chad,,,Chad,
Changchun,Jilin,China,"Changchun, Jilin, China",https://en.wikipedia.org/wiki/File:Jilin_in_China_(%2Ball_claims_hatched).svg
Changsha,Hunan,China,"Changsha, Hunan, China",https://en.wikipedia.org/wiki/File:Hunan_in_China_(%2Ball_claims_hatched).svg
Charleston,South Carolina,United States,"Charleston, South Carolina, United States",https://en.wikipedia.org/wiki/File:South_Carolina_in_United_States.svg
Charlotte,North Carolina,United States,"Charlotte, North Carolina, United States",https://en.wikipedia.org/wiki/File:North_Carolina_in_United_States.svg
Chelyabinsk,Chelyabinsk Oblast,Russia,"Chelyabinsk, Chelyabinsk Oblast, Russia",https://en.wikipedia.org/wiki/File:Map_of_Russia_-_Chelyabinsk_Oblast_(disputed_Crimea).svg
Chelyabinsk Oblast,Russia,,"Chelyabinsk Oblast, Russia",https://en.wikipedia.org/wiki/File:Map_of_Russia_-_Chelyabinsk_Oblast_(disputed_Crimea).svg
Chengdu,Sichuan,China,"Chengdu, Sichuan, China",https://en.wikipedia.org/wiki/File:Sichuan_in_China_(%2Ball_claims_hatched).svg
Chennai,Tamil Nadu,India,"Chennai, Tamil Nadu, India",https://en.wikipedia.org/wiki/File:Tamil_Nadu_in_India.svg
Cheyenne,Wyoming,United States,"Cheyenne, Wyoming, United States",https://en.wikipedia.org/wiki/File:Wyoming_in_United_States.svg
Chhattisgarh,India,,"Chhattisgarh, India",https://en.wikipedia.org/wiki/File:Chhattisgarh_in_India.svg
Chicago,Illinois,United States,"Chicago, Illinois, United States",https://en.wikipedia.org/wiki/File:Illinois_in_United_States.svg
Chicago,,,Chicago,
Chihuahua,Mexico,,"Chihuahua, Mexico",https://en.wikipedia.org/wiki/File:Chihuahua_in_Mexico_(location_map_scheme).svg
Chihuahua City,Chihuahua,Mexico,"Chihuahua City, Chihuahua, Mexico",https://en.wikipedia.org/wiki/File:Chihuahua_in_Mexico_(location_map_scheme).svg
Chile,,,Chile,
China,,,China,
Chipata,Eastern,Zambia,"Chipata, Eastern, Zambia",https://en.wikipedia.org/wiki/File:Eastern_in_Zambia.svg
Chisinau,,,Chisinau,
Chita,Zabaykalsky,Russia,"Chita, Zabaykalsky, Russia",https://en.wikipedia.org/wiki/File:Map_of_Russia_-_Zabaykalsky_Krai.svg
Choibalsan,Dornod,Mongolia,"Choibalsan, Dornod, Mongolia",https://en.wikipedia.org/wiki/File:Dornod_in_Mongolia.svg
Choibalsan,,,Choibalsan,
Chongqing,China,,"Chongqing, China",https://en.wikipedia.org/wiki/File:Chongqing_in_China_(%2Ball_claims_hatched).svg
Christmas,,,Christmas,
Chubut,Argentina,,"Chubut, Argentina",https://en.wikipedia.org/wiki/File:Chubut_in_Argentina_(%2BFalkland_hatched).svg
Chukotka,Russia,,"Chukotka, Russia",https://en.wikipedia.org/wiki/File:Map_of_Russia_-_Chukotka_Autonomous_Okrug.svg
Ciudad Bolivar,Bolivar,Venezuela,"Ciudad Bolivar, Bolivar, Venezuela",https://en.wikipedia.org/wiki/File:Bolivar_in_Venezuela.svg
Ciudad Victoria,Tamaulipas,Mexico,"Ciudad Victoria, Tamaulipas, Mexico",https://en.wikipedia.org/wiki/File:Tamaulipas_in_Mexico_(location_map_scheme).svg
Ciudad Juarez,,,Ciudad Juarez,
Coahuila,Mexico,,"Coahuila, Mexico",https://en.wikipedia.org/wiki/File:Coahuila_in_Mexico_(location_map_scheme).svg
Cocos,,,Cocos,
Colombia,,,Colombia,
Colombo,,,Colombo,
Colorado,United States,,"Colorado, United States",https://en.wikipedia.org/wiki/File:Colorado_in_United_States.svg
Columbia,South Carolina,United States,"Columbia, South Carolina, United States",https://en.wikipedia.org/wiki/File:South_Carolina_in_United_States.svg
Columbus,Ohio,United States,"Columbus, Ohio, United States",https://en.wikipedia.org/wiki/File:Ohio_in_United_States.svg
Comoro,,,Comoro,
Conakry,,,Conakry,
Congo-Kinshasa,,,Congo-Kinshasa,
Copenhagen,,,Copenhagen,
Cordoba,Argentina,,"Cordoba, Argentina",https://en.wikipedia.org/wiki/File:Cordoba_in_Argentina_(%2BFalkland_hatched).svg
Corrientes,Corrientes Province,Argentina,"Corrientes, Corrientes Province, Argentina",https://en.wikipedia.org/wiki/File:Corrientes_in_Argentina_(%2BFalkland).svg
Corrientes,Argentina,,"Corrientes, Argentina",https://en.wikipedia.org/wiki/File:Corrientes_in_Argentina_(%2BFalkland).svg
Costa Rica,,,Costa Rica,
Coyhaique,Aysen,Chile,"Coyhaique, Aysen, Chile",https://en.wikipedia.org/wiki/File:Aysen_in_Chile_2018.svg
Cuando Cubango,Angola,,"Cuando Cubango, Angola",https://en.wikipedia.org/wiki/File:Cuando_Cubango_in_Angola.svg
Cuiaba,Mato Grosso,Brazil,"Cuiaba, Mato Grosso, Brazil",https://en.wikipedia.org/wiki/File:Mato_Grosso_in_Brazil.svg
Cuiaba,,,Cuiaba,
Cunene,Angola,,"Cunene, Angola",https://en.wikipedia.org/wiki/File:Cunene_in_Angola.svg
Curacao,,,Curacao,
Curitiba,Parana,Brazil,"Curitiba, Parana, Brazil",https://en.wikipedia.org/wiki/File:Parana_in_Brazil.svg
Dakar,,,Dakar,
Dakhla,Dakhla-OuedEd-Daha,Morocco(de facto),"Dakhla, Dakhla-OuedEd-Daha, Morocco(de facto)",https://en.wikipedia.org/wiki/File:Dakhla-Oued_Ed_Dahab_in_Morocco_(Morocco_view).svg
Dakhla-OuedEd-Daha,Morocco(de facto),,"Dakhla-OuedEd-Daha, Morocco(de facto)",https://en.wikipedia.org/wiki/File:Dakhla-Oued_Ed_Dahab_in_Morocco_(Morocco_view).svg
Dalanzadgad,Omnogovi,Mongolia,"Dalanzadgad, Omnogovi, Mongolia",https://en.wikipedia.org/wiki/File:%C3%96mn%C3%B6govi_in_Mongolia.svg
Damascus,,,Damascus,
Dammam,Eastern,Saudi Arabia,"Dammam, Eastern, Saudi Arabia",https://en.wikipedia.org/wiki/File:Ash_Sharqiyah_in_Saudi_Arabia.svg
Danish Realm,,,Danish Realm,
Dar es Salaam,,,Dar es Salaam,
Daru,Western,Papua New Guinea,"Daru, Western, Papua New Guinea",https://en.wikipedia.org/wiki/File:Western_Province_in_Papua_New_Guinea.svg
Darwin,Australia,,"Darwin, Australia",
Darwin,Northern Territory,Australia,"Darwin, Northern Territory, Australia",https://en.wikipedia.org/wiki/File:Northern_Territory_in_Australia.svg
Dawson Creek,,,Dawson Creek,
Denver,Colorado,United States,"Denver, Colorado, United States",https://en.wikipedia.org/wiki/File:Colorado_in_United_States.svg
Des Moines,Iowa,United States,"Des Moines, Iowa, United States",https://en.wikipedia.org/wiki/File:Iowa_in_United_States.svg
Detroit,Michigan,United States,"Detroit, Michigan, United States",https://en.wikipedia.org/wiki/File:Michigan_in_United_States.svg
Dhaka,,,Dhaka,
Dhofar,Oman,,"Dhofar, Oman",https://en.wikipedia.org/wiki/File:Dhofar_in_Oman_2016.svg
Diffa,Diffa Region,Niger,"Diffa, Diffa Region, Niger",https://en.wikipedia.org/wiki/File:Diffa_in_Niger.svg
Diffa Region,Niger,,"Diffa Region, Niger",https://en.wikipedia.org/wiki/File:Diffa_in_Niger.svg
Dili,,,Dili,
Djanet,Algeria,,"Djanet, Algeria",https://en.wikipedia.org/wiki/File:Djanet_in_Algeria_2019.svg
Djibouti,,,Djibouti,
Dominica,,,Dominica,
Dongola,Northern,Sudan,"Dongola, Northern, Sudan",https://en.wikipedia.org/wiki/File:Northern_in_Sudan_(Kafia_Kingi_disputed).svg
Dornod,Mongolia,,"Dornod, Mongolia",https://en.wikipedia.org/wiki/File:Dornod_in_Mongolia.svg
